LINE NO,TEST PACK NO ,BOLT TORQUING NUMBER,TYPE OF BOLTING ,DATE,SUPERVISOR
K81-BD-5247/K8101A_A,K81-FPS6-BD-01-TP-002-001,J186,,,
K81-BD-5249/K8101A_A,K81-FPS6-BD-01-TP-002-001,J187,,,
K81-BD-5250/K8101A_A,K81-FPS6-BD-01-TP-002-001,J188,,,
K81-BD-5251/K8101A_A,K81-FPS6-BD-01-TP-002-001,J189,,,
K81-BD-5254/K8101A_A,K81-FPS6-BD-01-TP-002-001,J190,,,
K81-BD-5255/K8101A_A,K81-FPS6-BD-01-TP-002-001,J191,,,
K81-BD-5256/K8101A_A,K81-FPS6-BD-01-TP-002-001,J192,,,
K81-BD-5257/K8101A_A,K81-FPS6-BD-01-TP-002-001,J193,,,
K81-BD-5258/K8101A_A,K81-FPS6-BD-01-TP-002-001,J194,,,
K81-BD-5259/K8101A_A,K81-FPS6-BD-01-TP-002-001,J195,,,
K81-BD-5200/K8101A_A,K81-FPS6-BD-01-TP-002-001,J196,,,
K90-P-4017/K9001A_A,K81-FPS6-BD-01-TP-003-001,J197,,,
K81-P-1908/K8101A_A,K81-FPS6-BD-01-TP-004-001,J198,,,
K81-P-2082/K8101A_A,K81-FPS6-BD-01-TP-006-001,J199,,,
K81-P-2083/K8101A_A,K81-FPS6-BD-01-TP-006-002,J200,,,
K81-P-2083/K8101A_A,K81-FPS6-BD-01-TP-006-003,,,,
K81-P-2082/K8101A_A,K81-FPS6-BD-01-TP-006-004,,,,
K81-P-1923/K8101A_A,K81-FPS6-BD-01-TP-007-001,,,,
K81-P-2055/K8101A_A,K81-FPS6-BD-01-TP-008-001,,,,
K81-P-1917/K8101A_A,K81-FPS6-BD-01-TP-009-001,,,,
K81-P-2042/K8101A_A,K81-FPS6-BD-01-TP-010-001,,,,
K81-P-2053/K8101A_A,K81-FPS6-BD-01-TP-011-001,,,,
K81-P-2054/K8101A_A,K81-FPS6-BD-01-TP-012-001,,,,
K81-P-2063/K8101A_A,K81-FPS6-BD-01-TP-013-001,,,,
K81-P-2043/K8101A_A,K81-FPS6-BD-01-TP-014-001,,,,
K81-P-2045/K8101A_A,K81-FPS6-BD-01-TP-015-001,,,,
K81-P-2047/K8101A_A,K81-FPS6-BD-01-TP-016-001,,,,
K81-P-2048/K8101A_A,K81-FPS6-BD-01-TP-017-001,,,,
K81-P-2051/K8101A_A,K81-FPS6-BD-01-TP-018-001,,,,
K81-P-2052/K8101A_A,K81-FPS6-BD-01-TP-019-001,,,,
K81-P-2056/K8101A_A,K81-FPS6-BD-01-TP-020-001,,,,
K90-P-4015/K8101A_A,K81-FPS6-BD-01-TP-022-001,,,,
